
8;8;0.00500000000000000010;0.01299999999999999940;
16;16;0.00100000000000000002;0.00500000000000000010;
32;32;0.00500000000000000010;0.01000000000000000021;
64;64;0.03899999999999999994;0.03899999999999999994;
128;128;0.06300000000000000044;0.06400000000000000133;
256;256;0.25300000000000000266;0.11700000000000000677;
512;512;1.05299999999999993605;0.23799999999999998934;
1024;1024;3.99199999999999999289;0.53100000000000002753;
2048;2048;16.84499999999999886313;1.13399999999999989697;
4096;4096;62.40599999999999880629;2.34500000000000019540;
8192;8192;241.90600000000000591172;4.74000000000000021316;
16384;16384;975.81899999999995998223;10.46499999999999985789;
32768;32768;3910.79700000000002546585;23.96199999999999974420;
65536;65536;15600.28399999999965075403;48.14200000000000301270;
